Disease,Category,Symptoms,Prevention,Risk_Level
Gout,Musculoskeletal,"Intense joint pain; Lingering discomfort; Inflammation and redness.The affected joint or joints become swollen, tender, warm and red; Limited range of motion.As gout progresses, you may not be able to move your joints normally",,High
Septic arthritis,Digestive,"Septic arthritis typically causes extreme discomfort and difficulty using the affected joint; If septic arthritis occurs in an artificial joint (prosthetic joint infection), signs and symptoms such as minor pain and swelling may develop months or years after knee replacement or hip replacement surgery",,High
Juvenile idiopathic arthritis,Infectious,"Pain.While your child might not complain of joint pain, you may notice that he or she limps — especially first thing in the morning or after a nap; Swelling.Joint swelling is common but is often first noticed in larger joints such as the knee; Stiffness.You might notice that your child appears clumsier than usual, particularly in the morning or after naps; Fever, swollen lymph nodes and rash.In some cases, high fever, swollen lymph nodes or a rash on the trunk may occur — which is usually worse in the evenings; Juvenile idiopathic arthritis can affect one joint or many; Like other forms of arthritis, juvenile idiopathic arthritis is characterized by times when symptoms flare up and times when symptoms may be minimal",,High
Psoriatic arthritis,Infectious,"Both psoriatic arthritis and psoriasis are chronic diseases that worsen over time; Psoriatic arthritis can affect joints on one or both sides of your body; However, psoriatic arthritis is more likely to also cause:",,High
Rheumatoid arthritis,Cardiovascular,"Painful, warm, swollen joints; Joint stiffness that most often is worse in the mornings and after periods of rest. It can last for 45 minutes or longer; Tiredness, fever and not wanting to eat; Rheumatoid arthritis may affect just a few joints at first. Most often, these are the small joints of the hands and the feet; As the disease gets worse, symptoms may spread to more joints; Many people who have rheumatoid arthritis also have symptoms that affect more than the joints. Areas that may be affected include:; Skin; Eyes",,High
Atrial septal defect (ASD),Cardiovascular,"A baby born with an atrial septal defect (ASD) may not have symptoms. Symptoms may begin in adulthood; Atrial septal defect symptoms may include:; Shortness of breath, especially when exercising; Tiredness, especially with activity; Swelling of the legs, feet or belly area; Irregular heartbeats, also called arrhythmias; Skipped heartbeats or feelings of a quick, pounding or fluttering heartbeat, called palpitations","Because the cause of atrial septal defect (ASD) is not clear, prevention may not be possible; During this visit:; Talk about current health conditions and medicines; Review your family medical history; Ask about getting tested to see if you've had German measles, also called rubella",High
Autism spectrum disorder,Neurological,"Some children show signs of autism spectrum disorder in early infancy, such as less eye contact, not responding to their names or not being interested in caregivers; Some people in the mild range on the autism spectrum may have more symptoms that aren't noticed early on; Each child with autism spectrum disorder is likely to have a unique pattern of behavior that depends on whether symptoms are mild, moderate or severe; Some children with autism spectrum disorder have trouble learning, and some have signs of lower than usual intelligence; Because each child can have a unique mix of symptoms, sometimes it can be hard to tell how severe the condition is; Below are some common signs shown by people who have autism spectrum disorder","There's no known way to prevent autism spectrum disorder; Getting diagnosed and treated early is most helpful in improving behavior, skills and language development",Low
Avascular necrosis (osteonecrosis),Cardiovascular,"Some people have no symptoms in the early stages of avascular necrosis; Pain can be mild or severe; Some people develop avascular necrosis on both sides, such as in both hips or in both knees",,High
Childhood asthma,Respiratory,Childhood asthma also might cause:; Asthma symptoms vary from child to child and might get worse or better over time; It can be difficult to tell whether your child's symptoms are caused by asthma,Careful planning and avoiding asthma triggers are the best ways to prevent asthma attacks; See your child's health care provider when necessary; Asthma changes over time. Consulting your child's provider can help you make needed treatment adjustments to control symptoms,High
Occupational asthma,Respiratory,Wheezing; Coughing; Shortness of breath; Chest tightness; Other possible symptoms may include:; Runny nose; Stuffy nose; Itchy or watery eyes,"The best way to prevent occupational asthma is to control exposure to chemicals and other substances that are known to be irritating; Medicines may help relieve symptoms and control inflammation linked to occupational asthma; If you smoke, quit.Being smoke-free may help prevent or lessen symptoms of occupational asthma; Get a flu vaccination.This can help prevent illness that affects the lungs; Avoid nonsteroidal anti-inflammatory drugs (NSAIDs)and other medicines that may make symptoms worse; Lose weight.For people with obesity, losing weight can help improve symptoms and overall lung health; If you are in the United States and you have a high-risk job, your company must follow rules to help protect you from harmful chemicals; Tell youif you'll be working with any harmful chemicals",High
Atrial tachycardia,Cardiovascular,"The main symptom of atrial tachycardia is a very fast heartbeat; Other symptoms of atrial tachycardia may include:; Pounding or fluttering feelings in the chest or neck, called palpitations; Chest pain; Fainting or almost fainting; Lightheadedness or dizziness; Shortness of breath; Sweating",,High
Arteriosclerosis / atherosclerosis,Cardiovascular,"Mild atherosclerosis usually doesn't cause symptoms; Atherosclerosis symptoms usually don't happen until an artery is so narrowed or clogged that it can't send enough blood to organs and tissues; Symptoms of moderate to severe atherosclerosis depend on which arteries are affected. For example, if you have atherosclerosis:; In your heart arteries,you may have chest pain or pressure, called angina; In the arteries leading to your brain,you may have sudden numbness or weakness in your arms or legs, trouble speaking, slurred speech, sudden or temporary loss of vision in one eye, or drooping muscles in your face; In the arteries in your arms and legs,you may have leg pain when walking, called claudication; In the arteries leading to your kidneys,you may get high blood pressure or kidney failure","Do not smoke or use tobacco; Eat nutritious foods; Get regular exercise and keep an active lifestyle; Keep a healthy weight; Control blood pressure, blood sugar and cholesterol",High
